# SIMULATED DATA, procedural CMB-like field (NOT real Planck data)
# Generated by: /scripts/simulate/cmb_map.ts
# To replace with real Planck SMICA: see /scripts/fetch/cmb_map.md
# Real source: Planck 2018 results IV, A&A 641, A4
# Schema: x (Mollweide, -2..2), y (Mollweide, -1..1), t_uk (microkelvin)
# Grid: 480x240 Mollweide cells, 89876 interior points
x,y,t_uk
-0.2547,-0.9916,13.44
-0.2463,-0.9916,101.25
-0.2380,-0.9916,12.12
-0.2296,-0.9916,203.79
-0.2213,-0.9916,31.98
-0.2129,-0.9916,93.91
-0.2046,-0.9916,39.25
-0.1962,-0.9916,-5.10
-0.1879,-0.9916,-33.31
-0.1795,-0.9916,67.70
-0.1712,-0.9916,132.74
-0.1628,-0.9916,-13.55
-0.1545,-0.9916,-54.00
-0.1461,-0.9916,-0.40
-0.1378,-0.9916,108.94
-0.1294,-0.9916,-74.67
-0.1211,-0.9916,178.10
-0.1127,-0.9916,68.87
-0.1044,-0.9916,109.36
-0.0960,-0.9916,39.18
-0.0877,-0.9916,11.75
-0.0793,-0.9916,-11.60
-0.0710,-0.9916,41.85
-0.0626,-0.9916,-82.45
-0.0543,-0.9916,0.10
-0.0459,-0.9916,20.86
-0.0376,-0.9916,51.67
-0.0292,-0.9916,28.39
-0.0209,-0.9916,197.14
-0.0125,-0.9916,-68.88
-0.0042,-0.9916,-121.60
0.0042,-0.9916,70.07
0.0125,-0.9916,98.52
0.0209,-0.9916,95.53
0.0292,-0.9916,100.10
0.0376,-0.9916,11.61
0.0459,-0.9916,63.09
0.0543,-0.9916,48.14
0.0626,-0.9916,3.90
0.0710,-0.9916,-47.36
0.0793,-0.9916,81.24
0.0877,-0.9916,91.65
0.0960,-0.9916,-31.03
0.1044,-0.9916,73.64
0.1127,-0.9916,22.54
0.1211,-0.9916,6.72
0.1294,-0.9916,-93.29
0.1378,-0.9916,-87.54
0.1461,-0.9916,-194.02
0.1545,-0.9916,-46.45
0.1628,-0.9916,-25.01
0.1712,-0.9916,-117.46
0.1795,-0.9916,-222.44
0.1879,-0.9916,40.72
0.1962,-0.9916,-181.51
0.2046,-0.9916,-108.96
0.2129,-0.9916,34.35
0.2213,-0.9916,78.49
0.2296,-0.9916,-119.45
0.2380,-0.9916,34.06
0.2463,-0.9916,27.34
0.2547,-0.9916,-6.72
-0.3633,-0.9833,55.54
-0.3549,-0.9833,16.07
-0.3466,-0.9833,-98.80
-0.3382,-0.9833,107.85
-0.3299,-0.9833,-5.46
-0.3215,-0.9833,-47.78
-0.3132,-0.9833,17.94
-0.3048,-0.9833,-88.33
-0.2965,-0.9833,126.57
-0.2881,-0.9833,57.79
-0.2797,-0.9833,44.10
-0.2714,-0.9833,103.26
-0.2630,-0.9833,-86.87
-0.2547,-0.9833,15.71
-0.2463,-0.9833,73.42
-0.2380,-0.9833,25.93
-0.2296,-0.9833,-28.18
-0.2213,-0.9833,-39.97
-0.2129,-0.9833,-46.43
-0.2046,-0.9833,76.98
-0.1962,-0.9833,-2.57
-0.1879,-0.9833,27.72
-0.1795,-0.9833,79.04
-0.1712,-0.9833,60.72
-0.1628,-0.9833,1.84
-0.1545,-0.9833,-1.35
-0.1461,-0.9833,114.17
-0.1378,-0.9833,-18.08
-0.1294,-0.9833,34.37
-0.1211,-0.9833,128.15
-0.1127,-0.9833,-52.55
-0.1044,-0.9833,-17.97
-0.0960,-0.9833,16.34
-0.0877,-0.9833,-26.42
-0.0793,-0.9833,11.86
-0.0710,-0.9833,120.35
-0.0626,-0.9833,123.90
-0.0543,-0.9833,-119.72
-0.0459,-0.9833,-142.35
-0.0376,-0.9833,58.55
-0.0292,-0.9833,97.44
-0.0209,-0.9833,30.07
-0.0125,-0.9833,42.41
-0.0042,-0.9833,39.03
0.0042,-0.9833,73.29
0.0125,-0.9833,16.02
0.0209,-0.9833,5.11
0.0292,-0.9833,143.23
0.0376,-0.9833,1.27
0.0459,-0.9833,87.77
0.0543,-0.9833,-9.47
0.0626,-0.9833,171.36
0.0710,-0.9833,94.74
